"COLOR","CURRENT OIL BRAND","ENGINE VOLUME","FUEL AMOUNT","INSTALLATION DATE","INSURANCE RUN OUT DATE","MAKER","MODEL","PRODUCTION YEAR","SPARE PART MAKER","TRANSMISSION","TYPE","WHEELS TYPE"
"Black","ZIC","1.6","10.0","10/11/2020","11/01/2022","Russia","Lada Priora","2010","Bosch","MECHANICAL","Air filter","Winter European"
"Blue","LukOil","1.5","8.0","05/06/2021","25/07/2022","USA","Chevrolet Lanos","2008","KYB","AUTOMATIC","gas pump","Summer universal"
"Black","ZIC","11.1","10.0","10211/2020","22/01/2022","Russia","Lada Priora","2010","Bosch","MECHANICAL","Air filter","Winter European"
"Blue","LukOil","11.4","8.0","05/06/2021","25/07/2022","USA","Chevrolet Lanos","2008","KYB","AUTOMATIC","gas pump","Summer universal"
"myColor","myCurrentOilBrand","10.0","5.4","12/12/2022","12/02/2022","myMaker","myModel","2228","mySpareMaker","","mySpareType","myWheelsType"
"myColor","myCurrentOilBrand","10.0","5.4","","12/02/2022","myMaker","myModel","2228","","","","myWheelsType"
"Black","ZIC","11.1","10.0","10/11/2020","22/01/2022","Russia","Lada Priora","2010","Bosch","MECHANICAL","Air filter","Winter European"
"myColor","myCurrentOilBrand","10.0","5.4","12/12/2022","12/02/2022","myMaker","myModel","2228","mySpareMaker","MECHANICAL","mySpareType","myWheelsType"
"Black","ZIC","11.1","10.0","10/11/2020","22/01/2022","Russia","Lada Priora","2010","Bosch","MECHANICAL","Air filter","Winter European"
"myColor","myCurrentOilBrand","10.0","5.4","","30/12/2021","myMaker","myModel","2228","","VARIABLE","","Summer"
"myColor","myCurrentOilBrand","10.0","5.4","12/12/2022","12/02/2022","myMaker","myModel","2228","mySpareMaker","MECHANICAL","mySpareType","myWheelsType"
